Date,Indiv,Muscle,Muscle Mass,Load,B/A,Max Force,max tendon length,max shortening,max contraction,time to short,loadenergy,peak vel,peak p,tendon stiffness,mms elastic,mms muscle,mms p
15-Sep,Lc001,1,3.5599,Iso20,After,5.751458,1.486219,-9.662477,-13.215458,41,3.186421,3.82883,-0.475812,3.869859018,0.895087222,15.61092464,133.6588106
15-Sep,Lc001,1,3.5599,Iso20,Before,5.4138339,1.2041978,-10.8664808,-13.9756808,33,2.2835403,5.012587,-0.5713514,4.495801188,0.641461923,16.52555469,160.4964746
15-Sep,Lc001,1,3.5599,Iso60,After,20.9718081,2.9650638,-2.447474,-6.81464,83,23.2449659,0.9000544,-0.3669315,7.072970268,6.529668221,14.41836991,103.0735414
15-Sep,Lc001,1,3.5599,Iso60,Before,21.0004191,2.7450687,-7.5810824,-12.292992,60,22.5743055,1.9679853,-0.8370633,7.650234437,6.341275176,44.72201681,235.1367454
2-Oct,Lc003,1,3.6544,Iso20,After,4.2202286,1.0565757,-9.2092663,-10.7538257,32,1.4547804,3.1365242,-0.3223633,3.994251051,0.398090083,10.63518198,88.21237412
2-Oct,Lc003,1,3.6544,Iso20,Before,4.3040994,1.2146436,-11.3478763,-12.4684311,27,1.5227401,4.5042058,-0.4791201,3.543508071,0.416686761,13.36536438,131.1077331
2-Oct,Lc003,1,3.6544,Iso60,After,16.5025754,2.1324997,-1.4358548,-3.9854244,75,13.0476902,0.7586244,-0.2785942,7.7386062,3.570405593,6.484047203,76.23527802
2-Oct,Lc003,1,3.6544,Iso60,Before,16.5432225,2.3164748,-7.5680039,-10.5763733,47,14.6183627,2.4576102,-0.9909323,7.141550817,4.000208707,34.25984359,271.1614218
6-Oct,Lc004,1,4.235,Iso20,After,6.2081347,1.1596798,-8.724736,-13.0199043,44,2.9268436,2.83719,-0.5152171,5.353317959,0.691108288,12.7896898,121.6569303
6-Oct,Lc004,1,4.235,Iso20,Before,6.1602351,1.4816753,-10.5149419,-15.2869875,36,3.2373953,4.0275376,-0.7296387,4.157614762,0.764438087,15.29504467,172.2877686
6-Oct,Lc004,1,4.235,Iso60,After,21.7603278,2.4993773,-1.4138871,-5.1452614,91,21.9568856,0.7158729,-0.4096637,8.706299685,5.184624699,7.264851657,96.73286895
6-Oct,Lc004,1,4.235,Iso60,Before,21.815069,2.767312,-6.981961,-12.664082,66,23.834105,1.655973,-1.054899,7.883125936,5.627887839,35.96504391,249.090673
20-Oct,Lc005,1,2.7475,Iso20,After,3.751638,1.194347,-8.25502,-9.169903,35,1.575818,4.666802,-0.254919,3.141162493,0.573546133,11.27200973,92.78216561
20-Oct,Lc005,1,2.7475,Iso20,Before,3.7294876,1.0941843,-9.5640898,-9.975178,30,1.3936511,6.2013013,-0.3412109,3.408463821,0.507243348,12.98240375,124.1895905
20-Oct,Lc005,1,2.7475,Iso60,After,13.7641149,2.6232295,-2.0005602,-5.5409045,76,14.4163657,1.7423803,-0.3138089,5.247011327,5.247084877,10.02218033,114.2161601
20-Oct,Lc005,1,2.7475,Iso60,Before,13.6896189,2.3916845,-6.0837082,-8.8797649,54,13.3778236,3.6127192,-0.7034639,5.723839787,4.869089572,30.31251929,256.0378162
27-Oct,Lc006,1,2.33,Iso20,After,3.9101176,1.8702226,-7.9292668,-9.032033,57,2.536516,3.6656507,-0.1841824,2.090723104,1.088633476,13.30659471,79.04824034
27-Oct,Lc006,1,2.33,Iso20,Before,3.9237732,1.8235496,-9.5336825,-10.1857417,43,2.6456806,5.4222492,-0.2880251,2.151722772,1.135485236,16.05493901,123.6159227
27-Oct,Lc006,1,2.33,Iso60,After,13.4517263,3.2436873,-1.1539003,-4.6427554,120,13.7436605,0.9671922,-0.138339,4.147047806,5.898566738,6.661781551,59.37296137
27-Oct,Lc006,1,2.33,Iso60,Before,13.4715147,3.6660119,-6.9550083,-9.3491606,78,18.1719729,2.9337483,-0.4823883,3.674705666,7.79913,40.21223028,207.0336052
