Date,Indiv,Muscle,Muscle Mass,Load,B/A,Threshold Force,max tendon length,max force,load pre,overshoot,return,direct,tendonp,fasciclep,MTUp,peak_vel,loading_power,loading_time,recoil_time,mms.pre,mms.over,mms.return,mms.direct,tendon.stiffness,efficiency
1-Dec,Lc009,1,0.0020041,LAMSA60,B,13.2468,4.385674,22.365173,13.504419,34.994226,-25.061008,-17.497073,474.900529,233.511323,658.129866,-2.673445,289.374973,171,64,6.738395789,17.4613173,12.50486902,8.730638691,5.09959769,51.67362511
1-Dec,Lc009,1,0.0020041,LAMSA60,A,13.2468,3.946519,17.066301,16.86264,12.613862,-13.298441,-8.700581,210.047391,119.520893,329.166895,-2.417181,163.693399,244,67,8.414071154,6.294028242,6.635617484,4.341390649,4.324393472,45.11539734
1-Dec,Lc009,1,0.0020041,LAMSA20,B,4.4156,3.92028,19.027273,2.03737,32.376851,-25.287793,-13.181371,1319.985484,360.844836,1601.137627,-2.829856,339.08132,114,24,1.016600968,16.15530712,12.61802954,6.577202235,4.853549491,73.48064918
1-Dec,Lc009,1,0.0020041,LAMSA20,A,4.4156,3.459146,14.657114,2.385381,20.016743,-13.545494,-9.563502,601.641787,240.363288,778.774902,-2.354221,199.478244,128,27,1.190250487,9.987896313,6.758891273,4.771968465,4.237205946,60.46522196
1-Dec,Lc009,2,0.0021235,LAMSA60,B,13.617,3.515609,23.703051,12.117583,25.685001,-31.133614,-24.875454,695.2105,309.304107,930.785984,-3.517015,211.671042,163,67,5.706420061,12.09559736,14.66146174,11.71436496,6.742231858,82.3584282
1-Dec,Lc009,2,0.0021235,LAMSA60,A,13.617,2.883474,18.108758,13.033366,8.88166,-15.812851,-14.120404,245.236412,162.10608,406.493871,-2.809768,112.764535,230,78,6.137681187,4.182557099,7.446598069,6.649589828,6.280187718,72.15529199
1-Dec,Lc009,2,0.0021235,LAMSA20,B,4.539,3.01833,19.456818,1.780278,23.782366,-34.002349,-17.179737,1556.087453,368.855637,1880.272339,-3.394135,268.910838,107,30,0.838369673,11.19960725,16.01240829,8.090292913,6.446219598,133.0157749
1-Dec,Lc009,2,0.0021235,LAMSA20,A,4.539,2.73199,14.923669,2.052967,15.410356,-17.557264,-11.146267,709.24201,242.214703,890.877159,-2.847463,177.68142,126,30,0.966784554,7.257054862,8.268078173,5.249007299,5.462563553,100.5379331
3-Nov,Lc007,1,0.0018969,LAMSA60,B,10.7796,4.533661,20.3227,11.089969,36.314078,-23.917267,-14.200839,615.3851,225.294475,775.052766,-5.217412,368.122875,160,48,5.846364595,19.14390743,12.6086072,7.486340345,4.482624528,50.45406144
3-Nov,Lc007,1,0.0018969,LAMSA60,A,10.7796,3.983663,14.8982,11.889428,15.398396,-16.352086,-5.309516,278.385485,109.65938,386.702344,-4.975984,194.121737,187,98,6.267820128,8.117663556,8.620425958,2.799048975,3.739824378,59.92447767
3-Nov,Lc007,1,0.0018969,LAMSA20,B,3.5932,4.007696,16.937268,1.139366,31.158814,-25.398419,-9.431167,1538.062485,411.496858,1741.902091,-4.979646,450.901865,102,21,0.600646318,16.42617639,13.38943487,4.971884127,4.226185818,78.63730712
3-Nov,Lc007,1,0.0018969,LAMSA20,A,3.5932,3.424386,12.46185,1.607501,18.584488,-13.673919,-6.725376,582.98906,177.56244,704.560238,-3.952673,177.460003,111,27,0.847435816,9.797294533,7.20856081,3.545456271,3.639148741,67.71952481
2-Oct,Lc003,2,0.0036544,LAMSA60,B,17.4624,4.285978,29.037606,14.495222,58.441751,-59.895934,-20.443176,660.864423,136.385516,773.413386,-2.466582,286.792328,161,61,3.96651215,15.99216041,16.39008702,5.594126532,6.77502451,82.12012582
2-Oct,Lc003,2,0.0036544,LAMSA60,A,17.4624,3.186691,21.803199,19.892916,16.699079,-25.498353,-9.007384,190.594333,57.640512,248.234844,-1.695842,113.152457,230,92,5.443551883,4.5695816,6.977438978,2.464805166,6.841955809,69.6828719
2-Oct,Lc003,2,0.0036544,LAMSA20,B,5.8208,3.738226,25.580842,1.663606,51.194303,-58.404202,-21.46071,1387.559706,248.004564,1608.125556,-2.612132,307.359287,94,30,0.455233691,14.00894894,15.9818854,5.872567316,6.843043197,110.4928347
2-Oct,Lc003,2,0.0036544,LAMSA20,A,5.8208,3.15167,20.273471,2.21858,31.685745,-34.489975,-12.164548,749.690085,143.957399,857.540237,-1.934335,165.316824,110,30,0.607098292,8.670573829,9.437930987,3.328740149,6.432612234,101.7273607
15-Sep,Lc001,2,0.0036509,LAMSA60,B,21.24,6.683901,35.173551,35.722469,67.542662,-53.133316,-44.73473,736.10346,397.536177,1076.130947,-2.792575,316.553987,200,44,9.784565176,18.50027719,14.55348435,12.25306911,5.262428483,51.4532984
15-Sep,Lc001,2,0.0036509,LAMSA60,A,21.24,4.940726,26.251483,32.451815,13.015066,-22.445926,-28.595931,167.387092,181.055501,348.295522,-2.236743,165.739826,217,130,8.888716481,3.564892492,6.148052809,7.832570325,5.313284525,49.36763971
15-Sep,Lc001,2,0.0036509,LAMSA20,B,7.08,6.898002,29.22946,5.047737,75.971161,-37.552991,-49.452607,1051.562469,878.494158,1874.949319,-2.753321,550.671194,116,23,1.382600729,20.80888575,10.28595442,13.54531951,4.237380621,46.35090322
15-Sep,Lc001,2,0.0036509,LAMSA20,A,7.08,5.042951,21.820182,5.282565,32.044527,-27.436312,-22.621729,610.602983,261.549296,827.899971,-2.159159,161.364917,124,32,1.446921307,8.777158235,7.514944808,6.196206141,4.326867741,73.50240946
29-Feb,Lc010,1,0.0024836,LAMSA20,A,4.7274,4.044454,14.58411,2.474129,19.712777,-15.355319,-12.764574,502.845701,227.653584,689.605618,-2.324198,153.855164,117,30,0.996186584,7.937178692,6.18268602,5.139545015,3.605952744,69.2089244
29-Feb,Lc010,1,0.0024836,LAMSA20,B,4.7274,4.408802,18.146112,2.378065,27.573005,-24.533325,-18.763025,918.386139,339.463822,1207.108001,-2.809718,223.445256,105,30,0.957507248,11.10203133,9.878130536,7.554769287,4.115882727,81.91134741
29-Feb,Lc010,1,0.0024836,LAMSA60,A,14.1822,4.023102,17.97803,18.973304,12.659388,-13.480145,-13.192356,177.282754,146.23656,323.218852,-2.318789,131.323902,279,53,7.639436302,5.097192785,5.427663472,5.311787727,4.468698532,42.61459948
29-Feb,Lc010,1,0.0024836,LAMSA60,B,14.1822,4.316589,22.874522,15.420445,25.849672,-24.714426,-21.899701,396.886552,289.601784,628.540876,-2.741305,180.467791,204,45,6.208908439,10.40814624,9.951049283,8.817724674,5.299212411,59.88455521
