Date,Indiv,Muscle,Load,Before/After,Muscle Mass (kg),MTU Length (mm),Force Threshold (N)
9/15/23,Lc001,1,Iso20,A,0.0035599,56,5.7515
9/15/23,Lc001,1,Iso20,B,0.0035599,56,5.4138
9/15/23,Lc001,1,Iso60,A,0.0035599,56,20.9718
9/15/23,Lc001,1,Iso60,B,0.0035599,56,21.0004
10/2/23,Lc003,1,Iso20,A,0.0036544,51,4.2202
10/2/23,Lc003,1,Iso20,B,0.0036544,51,4.3041
10/2/23,Lc003,1,Iso60,A,0.0036544,51,16.5026
10/2/23,Lc003,1,Iso60,B,0.0036544,51,16.5432
10/6/23,Lc004,1,Iso20,A,0.004235,53,6.2081
10/6/23,Lc004,1,Iso20,B,0.004235,53,6.1602
10/6/23,Lc004,1,Iso60,A,0.004235,53,21.7603
10/6/23,Lc004,1,Iso60,B,0.004235,53,21.8151
10/20/23,Lc005,1,Iso20,A,0.0027475,49,3.7516
10/20/23,Lc005,1,Iso20,B,0.0027475,49,3.7295
10/20/23,Lc005,1,Iso60,A,0.0027475,49,13.7641
10/20/23,Lc005,1,Iso60,B,0.0027475,49,13.6896
10/27/23,Lc006,1,Iso20,A,0.00233,43,3.9101
10/27/23,Lc006,1,Iso20,B,0.00233,43,3.9238
10/27/23,Lc006,1,Iso60,A,0.00233,43,13.4517
10/27/23,Lc006,1,Iso60,B,0.00233,43,13.4715
12/1/23,Lc009,1,LAMSA60,B,0.0020041,44,13.2468
12/1/23,Lc009,1,LAMSA60,A,0.0020041,44,13.2468
12/1/23,Lc009,1,LAMSA20,B,0.0020041,44,4.4156
12/1/23,Lc009,1,LAMSA20,A,0.0020041,44,4.4156
12/1/23,Lc009,2,LAMSA60,B,0.0021235,42,13.6170
12/1/23,Lc009,2,LAMSA60,A,0.0021235,42,13.6170
12/1/23,Lc009,2,LAMSA20,B,0.0021235,42,4.5390
12/1/23,Lc009,2,LAMSA20,A,0.0021235,42,4.5390
11/3/23,Lc007,1,LAMSA60,B,0.0018969,45,10.7796
11/3/23,Lc007,1,LAMSA60,A,0.0018969,45,10.7796
11/3/23,Lc007,1,LAMSA20,B,0.0018969,45,3.5932
11/3/23,Lc007,1,LAMSA20,A,0.0018969,45,3.5932
10/2/23,Lc003,2,LAMSA60,B,0.0036544,51,17.4624
10/2/23,Lc003,2,LAMSA60,A,0.0036544,51,17.4624
10/2/23,Lc003,2,LAMSA20,B,0.0036544,51,5.8208
10/2/23,Lc003,2,LAMSA20,A,0.0036544,51,5.8208
9/15/23,Lc001,2,LAMSA60,B,0.0036509,55,21.2400
9/15/23,Lc001,2,LAMSA60,A,0.0036509,55,21.2400
9/15/23,Lc001,2,LAMSA20,B,0.0036509,55,7.0800
9/15/23,Lc001,2,LAMSA20,A,0.0036509,55,7.0800
2/29/24,Lc010,1,LAMSA20,A,0.0024836,44,4.7274
2/29/24,Lc010,1,LAMSA20,B,0.0024836,44,4.7274
2/29/24,Lc010,1,LAMSA60,A,0.0024836,44,14.1822
2/29/24,Lc010,1,LAMSA60,B,0.0024836,44,14.1822
