Fout	Lin	Lout	sono
1.6406631	0.79322916	5.3487854	15.880342
1.6406631	1.0242199	5.3504667	15.872115
1.6422224	1.1418092	5.3496261	15.876229
1.6344261	1.2107521	5.3479447	15.884458
1.6375446	1.2584323	5.3487854	15.884458
1.6406631	1.2932259	5.3479447	15.921483
1.6453409	1.3077232	5.3496261	15.905027
1.6375446	1.3099784	5.3496261	15.892686
1.6437817	1.3254422	5.3496261	15.900914
1.6406631	1.3257643	5.3504667	15.888571
1.6359854	1.3360735	5.3513083	15.892686
1.6437817	1.3470271	5.3504667	15.892686
1.6359854	1.3286638	5.3504667	15.868002
1.6422224	1.3363957	5.3513083	15.892686
1.6437817	1.3386508	5.3504667	15.913255
1.6406631	1.3296303	5.3496261	15.876229
1.6453409	1.3392951	5.3513083	15.888571
1.6422224	1.3463827	5.3513083	15.880342
1.6406631	1.3492823	5.3513083	15.859774
1.6391039	1.3457384	5.3513083	15.888571
1.6359854	1.3450941	5.352149	15.892686
1.6406631	1.340906	5.3496261	15.91737
1.6406631	1.3486379	5.3487854	15.896799
1.6422224	1.3344628	5.3513083	15.888571
1.6391039	1.3276973	5.3504667	15.905027
1.6437817	1.323187	5.3513083	15.91737
1.6437817	1.3328519	5.3513083	15.888571
1.6437817	1.340906	5.352149	15.884458
1.6453409	1.3418725	5.3513083	15.884458
1.6422224	1.338973	5.3487854	15.884458
1.6437817	1.3463827	5.3487854	15.888571
1.6422224	1.3554033	5.3504667	15.896799
1.6484596	1.3605579	5.3496261	15.91737
1.6453409	1.3525039	5.3504667	15.888571
1.6422224	1.3457384	5.3487854	15.888571
1.6359854	1.340906	5.3504667	15.888571
1.6359854	1.3515373	5.3504667	15.91737
1.6453409	1.3454163	5.3513083	15.880342
1.6453409	1.3463827	5.3504667	15.892686
1.6375446	1.3476714	5.3504667	15.900914
1.6406631	1.3454163	5.3496261	15.905027
1.6437817	1.3399395	5.3496261	15.900914
1.6391039	1.3357514	5.3504667	15.884458
1.6437817	1.3363957	5.3504667	15.896799
1.6406631	1.3376844	5.3513083	15.876229
1.6422224	1.340906	5.3504667	15.880342
1.6359854	1.3312411	5.3487854	15.880342
1.6406631	1.3483157	5.3496261	15.880342
1.6391039	1.3434833	5.3496261	15.872115
1.6391039	1.3444498	5.3496261	15.905027
1.6437817	1.3557255	5.3504667	15.913255
1.6344261	1.3502487	5.3496261	15.896799
1.6406631	1.3615245	5.3504667	15.892686
1.6375446	1.3537925	5.3496261	15.884458
1.6406631	1.3550812	5.3504667	15.880342
1.6359854	1.3537925	5.3504667	15.888571
1.6375446	1.3360735	5.3504667	15.888571
1.6359854	1.3441277	5.3504667	15.921483
1.6406631	1.3334962	5.3496261	15.876229
1.6359854	1.3363957	5.3513083	15.888571
1.6328669	1.3305968	5.3496261	15.868002
1.6359854	1.3399395	5.3504667	15.896799
1.6375446	1.3441277	5.3496261	15.884458
1.6359854	1.3450941	5.3487854	15.872115
1.6406631	1.3470271	5.3504667	15.900914
1.6437817	1.356692	5.3504667	15.909142
1.6406631	1.3595915	5.3496261	15.900914
1.6391039	1.3405838	5.3487854	15.888571
1.6453409	1.3457384	5.3504667	15.905027
1.6359854	1.344772	5.3496261	15.888571
1.6391039	1.3444498	5.3479447	15.872115
1.6406631	1.3405838	5.3487854	15.884458
1.6422224	1.3473493	5.3504667	15.909142
1.6422224	1.3457384	5.3504667	15.888571
1.6453409	1.3425168	5.3513083	15.896799
1.6437817	1.3454163	5.3504667	15.888571
1.6391039	1.3476714	5.3496261	15.876229
1.6406631	1.3454163	5.3496261	15.884458
1.6437817	1.3351071	5.3504667	15.855659
1.6422224	1.3405838	5.3504667	15.913255
1.6391039	1.3486379	5.3487854	15.905027
1.6328669	1.3515373	5.3496261	15.905027
1.6453409	1.3460606	5.3504667	15.900914
1.6422224	1.3460606	5.3504667	15.909142
1.6437817	1.3502487	5.3504667	15.892686
1.6437817	1.3586249	5.3496261	15.888571
1.6453409	1.346705	5.3513083	15.880342
1.6437817	1.3450941	5.3513083	15.872115
1.6406631	1.3457384	5.3513083	15.892686
1.6391039	1.3360735	5.3496261	15.896799
1.6437817	1.3450941	5.3504667	15.929711
1.6437817	1.3405838	5.3513083	15.880342
1.6484596	1.3296303	5.3513083	15.868002
1.6422224	1.3341405	5.3504667	15.868002
1.6375446	1.3370401	5.3504667	15.91737
1.6391039	1.3415504	5.3513083	15.884458
1.6406631	1.3399395	5.3496261	15.900914
1.6437817	1.3399395	5.3504667	15.909142
1.6406631	1.342839	5.3496261	15.892686
1.6469002	1.3563699	5.352149	15.888571
1.6422224	1.3621688	5.3496261	15.900914
1.6391039	1.354759	5.3504667	15.905027
1.6453409	1.3579806	5.3504667	15.888571
1.6406631	1.344772	5.3504667	15.876229
1.6406631	1.3434833	5.3504667	15.892686
1.6422224	1.3363957	5.3513083	15.884458
1.6391039	1.3276973	5.3504667	15.888571
1.6406631	1.3331741	5.3504667	15.880342
1.6391039	1.3334962	5.3496261	15.876229
1.6391039	1.3412281	5.3504667	15.900914
1.6391039	1.3521817	5.3504667	15.913255
1.6391039	1.3412281	5.3513083	15.868002
1.6406631	1.3457384	5.3513083	15.863887
1.6406631	1.3399395	5.3504667	15.884458
1.6391039	1.3396174	5.3487854	15.900914
1.6359854	1.3415504	5.3513083	15.909142
1.6406631	1.3441277	5.3513083	15.884458
1.6406631	1.3573363	5.3513083	15.896799
1.6453409	1.3531482	5.3504667	15.884458
1.6406631	1.3492823	5.3513083	15.892686
1.6406631	1.344772	5.3513083	15.868002
1.6344261	1.352826	5.3504667	15.888571
1.6391039	1.3525039	5.3504667	15.892686
1.6422224	1.3486379	5.3504667	15.888571
1.6391039	1.3531482	5.3504667	15.896799
1.6328669	1.3541147	5.3487854	15.905027
1.6391039	1.3470271	5.3496261	15.888571
1.6391039	1.3525039	5.3504667	15.892686
1.6359854	1.3412281	5.3487854	15.876229
1.6406631	1.3402617	5.352149	15.884458
1.6406631	1.3405838	5.3504667	15.905027
1.6406631	1.3392951	5.3513083	15.900914
1.6406631	1.3444498	5.3504667	15.896799
1.6437817	1.3576585	5.3504667	15.888571
1.6406631	1.3557255	5.3496261	15.880342
1.6391039	1.3618466	5.3496261	15.880342
1.6422224	1.3612022	5.3487854	15.880342
1.6391039	1.3560476	5.3513083	15.896799
1.6391039	1.3483157	5.3504667	15.880342
1.6437817	1.346705	5.3496261	15.888571
1.6375446	1.346705	5.3504667	15.900914
1.6406631	1.3402617	5.3504667	15.91737
1.6453409	1.3376844	5.3513083	15.892686
1.6375446	1.3338184	5.3504667	15.888571
1.6391039	1.3383287	5.3487854	15.884458
1.6375446	1.338973	5.3487854	15.884458
1.6422224	1.3402617	5.3496261	15.888571
1.6422224	1.3479936	5.3513083	15.900914
1.6422224	1.3557255	5.3479447	15.921483
1.6391039	1.3615245	5.3496261	15.884458
1.6391039	1.3583028	5.3513083	15.880342
1.6422224	1.3612022	5.3504667	15.880342
1.6422224	1.3583028	5.3496261	15.909142
1.6453409	1.3473493	5.3513083	15.855659
1.6437817	1.3421947	5.3513083	15.872115
1.6391039	1.3328519	5.3496261	15.909142
1.6391039	1.3383287	5.3496261	15.900914
1.6437817	1.3360735	5.3504667	15.884458
1.6391039	1.3276973	5.3496261	15.888571
1.6391039	1.3305968	5.3504667	15.913255
1.6422224	1.3351071	5.3504667	15.884458
1.6391039	1.3312411	5.3504667	15.880342
1.6391039	1.3334962	5.3504667	15.880342
1.6391039	1.3360735	5.3487854	15.888571
1.6359854	1.3470271	5.3487854	15.896799
1.6375446	1.3576585	5.3504667	15.896799
1.6359854	1.3557255	5.3504667	15.896799
1.6437817	1.3573363	5.3504667	15.880342
1.6375446	1.3621688	5.3504667	15.872115
1.6344261	1.3496044	5.3496261	15.884458
1.6406631	1.3450941	5.3513083	15.905027
1.6437817	1.3363957	5.3504667	15.892686
1.6391039	1.3351071	5.3504667	15.905027
1.6391039	1.3367178	5.3504667	15.900914
1.6344261	1.3354292	5.3504667	15.896799
1.6406631	1.3299525	5.3504667	15.888571
1.6422224	1.3360735	5.3496261	15.896799
1.6422224	1.3325298	5.3496261	15.888571
1.6406631	1.3370401	5.3513083	15.876229
1.6359854	1.3457384	5.3504667	15.888571
1.6406631	1.3380065	5.3504667	15.892686
1.6406631	1.346705	5.3504667	15.888571
1.6406631	1.3450941	5.352149	15.888571
1.6406631	1.3512152	5.3496261	15.884458
1.6375446	1.3486379	5.3496261	15.884458
1.6344261	1.3470271	5.3504667	15.896799
1.6406631	1.3399395	5.3504667	15.876229
1.6375446	1.3322076	5.3496261	15.876229
1.6422224	1.346705	5.3513083	15.905027
1.6375446	1.3367178	5.3504667	15.880342
1.6375446	1.3363957	5.3496261	15.900914
1.6375446	1.3360735	5.3496261	15.892686
1.6375446	1.346705	5.3479447	15.888571
1.6375446	1.3450941	5.3487854	15.884458
1.6375446	1.3405838	5.3496261	15.884458
1.6344261	1.3473493	5.3513083	15.892686
1.6406631	1.3479936	5.3496261	15.880342
1.6391039	1.3483157	5.3496261	15.888571
1.6437817	1.34896	5.3496261	15.888571
1.6375446	1.3492823	5.3504667	15.909142
1.6391039	1.3518596	5.3504667	15.892686
1.6406631	1.3589472	5.3496261	15.896799
1.6359854	1.3521817	5.3513083	15.892686
1.6437817	1.3502487	5.3504667	15.888571
1.6375446	1.3486379	5.3504667	15.888571
1.6359854	1.3318855	5.3496261	15.884458
1.6375446	1.3341405	5.3504667	15.91737
1.6359854	1.3357514	5.3496261	15.888571
1.6375446	1.3357514	5.3504667	15.892686
1.6391039	1.3309189	5.3504667	15.880342
1.6406631	1.3405838	5.3504667	15.913255
1.6375446	1.3479936	5.3487854	15.888571
1.6375446	1.3525039	5.3513083	15.888571
1.6391039	1.3402617	5.3513083	15.888571
1.6422224	1.3479936	5.3496261	15.892686
1.6437817	1.3518596	5.3504667	15.905027
1.6406631	1.3444498	5.3496261	15.896799
1.6453409	1.3525039	5.3504667	15.925598
1.6359854	1.3454163	5.3513083	15.884458
1.6406631	1.3541147	5.3496261	15.888571
1.6375446	1.3470271	5.3504667	15.892686
1.6359854	1.3486379	5.3513083	15.888571
1.6391039	1.3515373	5.3496261	15.892686
1.6344261	1.3450941	5.3504667	15.900914
1.6391039	1.3434833	5.3487854	15.909142
1.6422224	1.3309189	5.3504667	15.884458
1.6375446	1.3383287	5.3487854	15.888571
1.6375446	1.3264086	5.3496261	15.859774
1.6406631	1.3367178	5.3504667	15.896799
1.6359854	1.3463827	5.3496261	15.892686
1.6328669	1.3347849	5.3496261	15.876229
1.6406631	1.346705	5.3496261	15.913255
1.6422224	1.3531482	5.3504667	15.905027
1.6391039	1.3531482	5.3504667	15.896799
1.6422224	1.3392951	5.3504667	15.876229
1.6375446	1.3360735	5.3496261	15.888571
1.6375446	1.3425168	5.3513083	15.876229
1.6391039	1.3505709	5.3513083	15.892686
1.6422224	1.3450941	5.3504667	15.892686
1.6391039	1.3341405	5.3496261	15.880342
1.6375446	1.3380065	5.3496261	15.888571
1.6313075	1.3450941	5.3513083	15.876229
1.6406631	1.3370401	5.3496261	15.888571
1.6422224	1.3392951	5.3504667	15.872115
1.6453409	1.3415504	5.3504667	15.880342
1.6375446	1.3473493	5.3504667	15.892686
1.6406631	1.3425168	5.3504667	15.888571
1.6359854	1.34896	5.3513083	15.905027
1.6375446	1.3454163	5.3504667	15.905027
1.6391039	1.3521817	5.3504667	15.888571
1.6344261	1.3476714	5.3504667	15.884458
1.6406631	1.344772	5.3496261	15.884458
1.6344261	1.3415504	5.3496261	15.888571
1.6391039	1.3425168	5.3504667	15.884458
1.6406631	1.346705	5.3496261	15.872115
1.6406631	1.3405838	5.3496261	15.896799
1.6391039	1.3296303	5.3504667	15.892686
1.6406631	1.3421947	5.3513083	15.892686
1.6328669	1.3463827	5.3504667	15.876229
1.6328669	1.3441277	5.3504667	15.896799
1.6406631	1.3396174	5.3513083	15.896799
1.6375446	1.3383287	5.3504667	15.900914
1.6375446	1.3425168	5.3487854	15.880342
1.6406631	1.3454163	5.3496261	15.892686
1.6406631	1.3360735	5.3504667	15.909142
