Fout	Lin	Lout	sono
1.768523	0.51681364	-0.00067045673	14.82304
1.7591673	0.82254595	-0.0023521434	14.814812
1.7622858	0.99264789	-0.0023521434	14.82304
1.7607266	1.0976729	-0.014964793	14.806583
1.7576081	1.1572731	-0.0031929866	14.806583
1.7622858	1.2068862	0.0052154465	14.818925
1.7622858	1.2310483	0.016987253	14.82304
1.7591673	1.2391025	0.0010112298	14.798356
1.7638451	1.2532777	-0.012442263	14.790128
1.7591673	1.2503781	0.035485804	14.786013
1.7607266	1.2626203	-0.0073972028	14.843609
1.7638451	1.2561771	0.007737976	14.818925
1.7638451	1.2574657	-0.010760576	14.82304
1.7607266	1.2487674	0.0085788192	14.818925
1.7622858	1.2577879	0.12713772	14.855952
1.7622858	1.253922	-0.037667561	14.827153
1.7607266	1.2610096	-0.017487323	14.82304
1.7638451	1.2532777	0.007737976	14.798356
1.7669637	1.2661642	-0.015805636	14.835382
1.7638451	1.2703522	-0.0057155164	14.806583
1.7622858	1.2677749	0.0010112298	14.802469
1.7591673	1.2645533	-0.0015113001	14.798356
1.7607266	1.263909	0.0094196629	14.82304
1.7591673	1.2687415	-0.0015113001	14.810697
1.7654045	1.2742182	0.021191468	14.818925
1.7622858	1.2674528	-0.0048746732	14.810697
1.7607266	1.2677749	-0.01160142	14.82304
1.7669637	1.2677749	-0.32103172	14.835382
1.7622858	1.2603652	-0.01160142	14.814812
1.7622858	1.2548884	-0.010760576	14.806583
1.7654045	1.250056	0.090981461	14.827153
1.7638451	1.2439349	0.0035337596	14.802469
1.7638451	1.2507004	-0.018328166	14.786013
1.7669637	1.2391025	-0.031781659	14.781899
1.7560488	1.2378138	0.0085788192	14.786013
1.7654045	1.2523111	0.049780142	14.794241
1.7622858	1.2516668	-0.010760576	14.806583
1.7622858	1.2507004	-0.013283106	14.786013
1.7638451	1.2603652	-0.0048746732	14.818925
1.7576081	1.2555327	0.019509783	14.777785
1.7638451	1.2552106	0.011942193	14.798356
1.7638451	1.2436128	0.010260507	14.794241
1.7654045	1.2532777	-0.0065563596	14.794241
1.7669637	1.2513447	0.0010112298	14.777785
1.7576081	1.2513447	-0.029259128	14.765444
1.7622858	1.2603652	-0.0082380464	14.802469
1.7700822	1.2622982	-0.014964793	14.82304
1.7669637	1.2613317	-0.0065563596	14.814812
1.7669637	1.2403911	-0.017487323	14.769557
1.7654045	1.2420019	-0.0015113001	14.790128
1.7622858	1.2468344	0.010260507	14.769557
1.7560488	1.250056	-0.00067045673	14.765444
1.7607266	1.2458678	0.0010112298	14.769557
1.7638451	1.2532777	0.014464723	14.786013
1.7576081	1.2532777	-0.00067045673	14.806583
1.7622858	1.2584323	0.0043746028	14.806583
1.7560488	1.2648755	0.040530864	14.82304
1.7591673	1.2758291	0.014464723	14.831268
1.7622858	1.2761512	-0.037667561	14.810697
1.7638451	1.2668085	0.027918214	14.781899
