Fout	Lin	Lout	sono
1.5408702	0.66823006	10.654545	19.134537
1.5502259	1.048382	10.652022	19.175676
1.5377517	1.2626203	10.653704	19.150991
1.5377517	1.3934186	10.653704	19.167448
1.5393109	1.4897454	10.654545	19.167448
1.5408702	1.5235724	10.652864	19.163334
1.5439887	1.5519228	10.652864	19.163334
1.5330739	1.564165	10.654545	19.163334
1.5408702	1.5741521	10.654545	19.15922
1.5361924	1.58575	10.654545	19.167448
1.5408702	1.5776958	10.653704	19.163334
1.5377517	1.5860721	10.653704	19.196245
1.5424294	1.5950927	10.652864	19.192133
1.5361924	1.6070127	10.652022	19.188017
1.5408702	1.6002473	10.652864	19.17156
1.5408702	1.6086235	10.652864	19.183905
1.5408702	1.6005695	10.654545	19.134537
1.5439887	1.6141003	10.652864	19.179789
1.5377517	1.6060462	10.652864	19.167448
1.5361924	1.6066905	10.653704	19.17156
1.5408702	1.5983143	10.654545	19.167448
1.545548	1.6095901	10.654545	19.175676
1.5424294	1.6015359	10.652022	19.188017
1.5377517	1.5925153	10.654545	19.175676
1.5439887	1.5754408	10.655386	19.130421
1.5408702	1.5889716	10.653704	19.15922
1.5377517	1.5999252	10.653704	19.179789
1.5377517	1.595737	10.654545	19.155106
1.5393109	1.5967035	10.655386	19.155106
1.5315145	1.6089457	10.652864	19.179789
1.5361924	1.6028246	10.654545	19.179789
1.545548	1.6028246	10.654545	19.150991
1.5393109	1.593804	10.652864	19.146877
1.5424294	1.6089457	10.656226	19.15922
1.5393109	1.6021802	10.654545	19.155106
1.5424294	1.5873607	10.653704	19.146877
1.5439887	1.6025025	10.653704	19.204473
1.5377517	1.5996029	10.652022	19.175676
1.5408702	1.5896159	10.653704	19.17156
1.5424294	1.5715748	10.656226	19.134537
1.5408702	1.5764072	10.653704	19.150991
1.545548	1.5744742	10.654545	19.167448
1.5377517	1.5834948	10.654545	19.175676
1.5361924	1.5928376	10.654545	19.15922
1.5393109	1.581884	10.653704	19.15922
1.5393109	1.591871	10.653704	19.150991
1.5408702	1.6044354	10.657067	19.192133
1.5439887	1.5963813	10.654545	19.142763
1.5408702	1.6073349	10.654545	19.146877
1.5361924	1.6176441	10.65118	19.142763
1.5346332	1.6050798	10.654545	19.150991
1.545548	1.5947706	10.653704	19.138649
1.5377517	1.6073349	10.654545	19.196245
1.5377517	1.6163554	10.653704	19.196245
1.5393109	1.5970256	10.653704	19.179789
1.5361924	1.5931597	10.656226	19.17156
1.5424294	1.5889716	10.654545	19.146877
1.5424294	1.5928376	10.654545	19.163334
1.5439887	1.5851057	10.656226	19.142763
1.5424294	1.5941262	10.652864	19.146877
1.5408702	1.5960592	10.654545	19.130421
1.5361924	1.5883273	10.652864	19.142763
1.5424294	1.5989586	10.655386	19.15922
1.5424294	1.6037911	10.654545	19.138649
1.5408702	1.6057241	10.653704	19.150991
1.545548	1.6089457	10.652022	19.146877
1.5393109	1.6208657	10.65118	19.163334
1.5408702	1.6121674	10.654545	19.175676
1.5377517	1.6028246	10.654545	19.175676
1.5439887	1.5844613	10.654545	19.15922
1.5424294	1.5944483	10.654545	19.17156
1.5377517	1.5844613	10.654545	19.150991
1.5393109	1.5921932	10.652022	19.175676
1.5393109	1.6031468	10.655386	19.142763
1.5408702	1.6131338	10.654545	19.175676
1.5377517	1.6015359	10.654545	19.105738
1.5393109	1.611523	10.655386	19.138649
1.5439887	1.6137781	10.652864	19.15922
1.5393109	1.6160333	10.654545	19.150991
1.5393109	1.6137781	10.654545	19.126308
1.5439887	1.611523	10.652022	19.155106
1.5439887	1.6260203	10.652022	19.15922
1.5377517	1.6144224	10.654545	19.146877
1.5377517	1.6189327	10.653704	19.192133
1.5424294	1.6054019	10.652864	19.146877
1.5393109	1.5960592	10.654545	19.150991
1.545548	1.6124895	10.653704	19.175676
1.5439887	1.59767	10.652864	19.175676
1.5377517	1.5889716	10.652864	19.126308
1.5424294	1.5789845	10.652864	19.134537
1.5361924	1.5892937	10.653704	19.146877
1.5424294	1.5844613	10.654545	19.142763
1.5408702	1.5834948	10.653704	19.105738
1.5393109	1.5983143	10.653704	19.163334
1.5377517	1.5999252	10.653704	19.142763
1.545548	1.6208657	10.653704	19.200359
1.5408702	1.6276312	10.652022	19.179789
1.5408702	1.6176441	10.652022	19.17156
1.5424294	1.6089457	10.653704	19.17156
1.5346332	1.6137781	10.654545	19.17156
1.5361924	1.595737	10.653704	19.150991
1.5361924	1.5941262	10.654545	19.163334
1.5377517	1.581884	10.654545	19.15922
1.5393109	1.5822061	10.652864	19.179789
1.5424294	1.5950927	10.654545	19.163334
1.5377517	1.5931597	10.654545	19.17156
1.5393109	1.5928376	10.652022	19.142763
1.5346332	1.6002473	10.653704	19.163334
1.5361924	1.611523	10.653704	19.155106
1.545548	1.6099122	10.654545	19.163334
1.5377517	1.6099122	10.655386	19.15922
1.5393109	1.6218323	10.654545	19.200359
1.5393109	1.6218323	10.654545	19.15922
1.5439887	1.6070127	10.653704	19.146877
1.5377517	1.6021802	10.652864	19.15922
1.5361924	1.6095901	10.652022	19.163334
1.5408702	1.6031468	10.652022	19.138649
1.5439887	1.59767	10.654545	19.150991
1.5408702	1.5854278	10.652022	19.142763
1.5408702	1.5950927	10.654545	19.208588
1.5315145	1.595737	10.654545	19.17156
1.5393109	1.5915489	10.654545	19.17156
1.5424294	1.5844613	10.654545	19.11808
1.545548	1.595737	10.655386	19.155106
1.5424294	1.5996029	10.652022	19.130421
1.545548	1.6054019	10.652864	19.17156
1.5424294	1.6131338	10.653704	19.167448
1.5361924	1.5896159	10.654545	19.142763
1.5439887	1.5812397	10.652864	19.150991
1.5393109	1.6108787	10.654545	19.196245
1.5408702	1.6189327	10.654545	19.188017
1.5361924	1.6192549	10.654545	19.150991
1.5408702	1.6202214	10.653704	19.192133
1.5377517	1.6092678	10.654545	19.150991
1.5361924	1.6285977	10.652864	19.196245
1.5393109	1.6099122	10.653704	19.163334
1.5408702	1.6005695	10.652864	19.15922
1.5408702	1.5886494	10.654545	19.155106
1.5377517	1.5889716	10.653704	19.150991
1.5408702	1.5735078	10.653704	19.130421
1.5424294	1.5815618	10.656226	19.163334
1.5424294	1.5770515	10.654545	19.122192
1.545548	1.5786624	10.656226	19.138649
1.5393109	1.5870386	10.654545	19.15922
1.5408702	1.5925153	10.654545	19.175676
1.5424294	1.5883273	10.653704	19.150991
1.5439887	1.5986365	10.655386	19.155106
1.5377517	1.59767	10.652864	19.167448
1.5439887	1.6124895	10.652864	19.196245
1.5408702	1.5896159	10.655386	19.134537
1.5393109	1.5954149	10.653704	19.146877
1.5408702	1.6060462	10.654545	19.15922
1.5393109	1.6057241	10.655386	19.175676
1.5393109	1.5844613	10.654545	19.142763
1.5424294	1.5786624	10.656226	19.142763
1.5393109	1.5950927	10.654545	19.17156
1.5393109	1.5831727	10.654545	19.167448
1.545548	1.5747964	10.654545	19.163334
1.5439887	1.583817	10.653704	19.15922
1.5361924	1.5809175	10.654545	19.146877
1.5393109	1.5954149	10.653704	19.216816
1.5377517	1.5944483	10.654545	19.150991
1.5408702	1.6157111	10.654545	19.175676
1.5408702	1.6169997	10.655386	19.15922
1.5361924	1.6282755	10.654545	19.188017
1.5393109	1.627309	10.653704	19.150991
1.5439887	1.6231209	10.652022	19.142763
1.5408702	1.6047575	10.654545	19.130421
1.5361924	1.6131338	10.652022	19.192133
1.5408702	1.6044354	10.653704	19.155106
1.5346332	1.5960592	10.652864	19.179789
1.5393109	1.5870386	10.653704	19.163334
1.5377517	1.595737	10.655386	19.175676
1.5408702	1.59767	10.654545	19.163334
1.5408702	1.5915489	10.652864	19.138649
1.5377517	1.5815618	10.654545	19.134537
1.5408702	1.6018581	10.654545	19.167448
1.5408702	1.593804	10.653704	19.150991
1.5377517	1.6047575	10.652022	19.179789
1.5346332	1.6041132	10.652864	19.179789
1.5408702	1.5947706	10.653704	19.15922
1.5424294	1.6076571	10.655386	19.130421
1.545548	1.6005695	10.652864	19.134537
1.5377517	1.6008916	10.652864	19.150991
1.5424294	1.6002473	10.652022	19.175676
1.5424294	1.6092678	10.653704	19.183905
1.5361924	1.6150668	10.654545	19.175676
1.5408702	1.5989586	10.654545	19.17156
1.5439887	1.5992808	10.653704	19.146877
1.5408702	1.5999252	10.653704	19.134537
1.5377517	1.5954149	10.654545	19.126308
1.5393109	1.5905824	10.654545	19.146877
1.5393109	1.59767	10.652864	19.142763
1.5377517	1.6124895	10.652022	19.179789
1.5361924	1.6150668	10.654545	19.175676
1.5377517	1.6144224	10.653704	19.183905
1.545548	1.6292421	10.653704	19.196245
1.5393109	1.6314971	10.654545	19.196245
1.5346332	1.6128117	10.652864	19.15922
1.5471072	1.6063684	10.652864	19.138649
1.5408702	1.6018581	10.655386	19.142763
1.5393109	1.5947706	10.654545	19.142763
1.5377517	1.5905824	10.653704	19.175676
1.5361924	1.587683	10.654545	19.163334
1.5424294	1.5841391	10.655386	19.130421
1.5408702	1.58575	10.654545	19.175676
1.5408702	1.5860721	10.654545	19.142763
1.5424294	1.5967035	10.652864	19.17156
1.5408702	1.6124895	10.654545	19.163334
1.5346332	1.613456	10.652022	19.179789
1.5424294	1.6118451	10.654545	19.150991
1.5393109	1.6060462	10.65118	19.142763
1.5393109	1.6034689	10.652864	19.163334
1.5393109	1.613456	10.652022	19.204473
1.5377517	1.6137781	10.655386	19.146877
1.5330739	1.6047575	10.653704	19.15922
1.5377517	1.6037911	10.654545	19.15922
1.5424294	1.6060462	10.654545	19.192133
1.5393109	1.6050798	10.652022	19.142763
1.5439887	1.5931597	10.652864	19.150991
1.5377517	1.5825284	10.654545	19.146877
