Fout	Lin	Lout	sono
1.6048001	0.50167203	0.016987253	14.061946
1.6079186	0.77873182	0.015305566	14.078403
1.5938852	0.95076674	-0.0090788892	14.082516
1.5954444	1.056114	0.11620677	14.090744
1.5938852	1.1199023	-0.0040338296	14.103086
1.6032408	1.1595283	-0.010760576	14.119543
1.5954444	1.1798245	0.064074479	14.078403
1.6125964	1.1911002	-0.010760576	14.082516
1.6048001	1.2030202	-0.01664648	14.103086
1.6016816	1.2033424	-0.020009853	14.078403
1.5970037	1.2010872	-0.00067045673	14.094858
1.5954444	1.1956105	0.018668938	14.090744
1.6048001	1.1991543	-0.0057155164	14.074287
1.6063594	1.1975435	0.023713998	14.078403
1.6001223	1.1981878	-0.0031929866	14.090744
1.6063594	1.2052754	-0.020009853	14.082516
1.6094779	1.2133294	-0.0065563596	14.074287
1.5970037	1.2220279	-0.032622501	14.090744
1.6032408	1.2352365	-0.0057155164	14.140112
1.5907667	1.2271825	0.11452508	14.090744
1.6001223	1.2181619	-0.014964793	14.06606
1.5985631	1.2233166	-0.018328166	14.115428
1.5970037	1.2210613	-0.0015113001	14.090744
1.6001223	1.2113965	0.007737976	14.078403
1.5907667	1.2033424	0.030440746	14.082516
1.5985631	1.2062418	-0.0031929866	14.090744
1.6063594	1.2052754	0.0026929164	14.094858
1.6063594	1.1968992	-0.096526586	14.070174
1.5938852	1.1978656	0.0085788192	14.078403
1.6048001	1.2059197	-0.018328166	14.078403
1.5829704	1.2113965	-0.0057155164	14.12777
1.5938852	1.2165511	-0.0073972028	14.115428
1.6001223	1.2091414	0.010260507	14.082516
1.6048001	1.2065641	0.0010112298	14.049603
1.5985631	1.2152624	-0.0057155164	14.090744
1.5985631	1.2068862	-0.00067045673	14.070174
1.5985631	1.2081748	0.013623879	14.078403
1.6063594	1.1988322	0.048098456	14.06606
1.6001223	1.2072084	-0.01916901	14.094858
1.6063594	1.2155846	-0.022532383	14.094858
1.5954444	1.2075305	-0.0048746732	14.06606
1.6001223	1.2043089	-0.031781659	14.061946
1.6048001	1.2078527	0.023713998	14.053719
1.6001223	1.2075305	-0.0023521434	14.098971
1.5954444	1.2033424	0.01614641	14.078403
1.6032408	1.1959326	-0.072142139	14.037262
1.5970037	1.2059197	-0.0023521434	14.078403
1.6001223	1.2136517	-0.0099197328	14.078403
