Fout	Lin	Lout	sono
1.7778785	0.65534353	0.023713998	19.081053
1.7809972	1.0267972	0.0035337596	19.113964
1.77476	1.2452235	-0.0031929866	19.11808
1.7841157	1.3756996	-0.01916901	19.097509
1.7763193	1.4491528	0.013623879	19.101624
1.7763193	1.5042427	0.096867368	19.109852
1.7809972	1.5448352	-0.012442263	19.097509
1.7778785	1.5606213	-0.0040338296	19.126308
1.7841157	1.5805954	-0.0090788892	19.138649
1.7794378	1.6018581	0.011942193	19.163334
1.7809972	1.6131338	0.018668938	19.146877
1.7825564	1.6141003	-0.0048746732	19.138649
1.7825564	1.5999252	0.010260507	19.105738
1.7763193	1.6050798	0.0068971328	19.122192
1.7872342	1.6095901	0.010260507	19.130421
1.77476	1.6112008	-0.020009853	19.113964
1.7809972	1.6137781	0.028759057	19.11808
1.7825564	1.6108787	-0.0048746732	19.15922
1.7825564	1.6034689	0.012783037	19.126308
1.7763193	1.593804	0.0043746028	19.109852
1.7809972	1.5944483	-0.020009853	19.11808
1.7763193	1.6034689	-0.0073972028	19.146877
1.7825564	1.6012138	0.01110135	19.113964
1.7778785	1.5934819	-0.017487323	19.085167
1.77476	1.5909046	0.027918214	19.093395
1.7716415	1.5902603	-0.020850696	19.113964
1.7809972	1.5954149	-0.00067045673	19.126308
1.77476	1.6050798	0.013623879	19.142763
1.7809972	1.6037911	0.014464723	19.113964
1.7809972	1.6018581	0.17422496	19.138649
1.7778785	1.6102344	-0.029259128	19.113964
1.7809972	1.6108787	0.0026929164	19.113964
1.7778785	1.6118451	-0.021691538	19.105738
1.7825564	1.5989586	0.027918214	19.081053
1.7778785	1.5963813	-0.00067045673	19.109852
1.7778785	1.5870386	0.007737976	19.093395
1.77476	1.5970256	-0.04523515	19.122192
1.7778785	1.5886494	0.033804119	19.093395
1.7809972	1.5944483	0.01110135	19.101624
1.7763193	1.5757629	0.0026929164	19.085167
1.7778785	1.5825284	0.038008336	19.089281
1.7841157	1.581884	-0.020009853	19.072824
1.7763193	1.591871	0.14563629	19.109852
1.7794378	1.5934819	0.0094196629	19.126308
1.7825564	1.59767	-0.0082380464	19.130421
1.7794378	1.6118451	0.007737976	19.142763
1.7778785	1.6089457	0.017828096	19.11808
1.7778785	1.6047575	0.032963276	19.105738
1.7809972	1.6083014	0.0060562897	19.134537
1.7778785	1.6044354	-0.010760576	19.11808
1.7794378	1.5944483	0.023713998	19.11808
1.7825564	1.5883273	0.0068971328	19.109852
1.7872342	1.5883273	0.0026929164	19.142763
1.7809972	1.5825284	0.017828096	19.11808
1.7794378	1.5725412	0.0026929164	19.109852
1.7809972	1.5847834	0.0085788192	19.122192
1.7794378	1.5851057	-0.0057155164	19.142763
1.7841157	1.5815618	0.014464723	19.093395
1.7763193	1.5941262	0.007737976	19.11808
1.7809972	1.5886494	0.014464723	19.113964
1.7778785	1.5944483	0.0094196629	19.126308
1.7778785	1.6086235	0.0085788192	19.138649
1.7841157	1.6089457	0.0018520731	19.113964
1.77476	1.6141003	0.0052154465	19.134537
1.7887934	1.6099122	-0.0082380464	19.134537
1.7778785	1.6195771	-0.01916901	19.130421
1.7809972	1.6070127	0.007737976	19.11808
1.7856749	1.6054019	0.0043746028	19.126308
1.7794378	1.5950927	0.0094196629	19.109852
1.7763193	1.5963813	-0.017487323	19.11808
1.7825564	1.6021802	-0.0073972028	19.11808
1.7716415	1.5967035	-0.0082380464	19.089281
1.7763193	1.5892937	0.018668938	19.089281
1.77476	1.5934819	-0.0040338296	19.097509
1.77476	1.5860721	0.0010112298	19.097509
1.7825564	1.6050798	0.0026929164	19.142763
1.7763193	1.6112008	0.080050498	19.113964
1.7809972	1.6079792	-0.015805636	19.11808
1.7778785	1.6041132	-0.018328166	19.11808
1.7763193	1.6054019	0.0085788192	19.11808
1.7763193	1.5999252	0.012783037	19.105738
1.7716415	1.6005695	-0.0057155164	19.109852
1.7809972	1.6079792	0.010260507	19.11808
1.7809972	1.6240873	-0.018328166	19.175676
1.7809972	1.6182884	0.03128159	19.130421
1.7778785	1.6102344	0.0085788192	19.134537
1.7825564	1.6008916	0.025395684	19.113964
1.7778785	1.5973479	-0.012442263	19.138649
1.7825564	1.5996029	-0.012442263	19.11808
1.7809972	1.593804	0.022873154	19.109852
1.77476	1.5902603	-0.013283106	19.085167
1.7825564	1.5912267	0.0085788192	19.113964
1.7763193	1.6002473	0.007737976	19.093395
1.7778785	1.6037911	-0.012442263	19.130421
1.7841157	1.6128117	-0.0090788892	19.130421
1.7778785	1.6179663	-0.01160142	19.150991
1.77476	1.6128117	-0.0073972028	19.109852
1.7763193	1.6163554	-0.0057155164	19.105738
1.7763193	1.6050798	0.028759057	19.085167
1.7763193	1.6047575	0.0026929164	19.105738
1.7794378	1.5999252	-0.014123949	19.093395
1.7794378	1.6050798	-0.027577441	19.109852
1.7732008	1.6012138	0.10359412	19.11808
1.7778785	1.5950927	0.0068971328	19.113964
1.7809972	1.5992808	-0.012442263	19.109852
1.7763193	1.5896159	-0.012442263	19.097509
1.7778785	1.5992808	0.029599901	19.11808
1.7856749	1.6005695	-0.0031929866	19.097509
1.7825564	1.6050798	0.0052154465	19.105738
1.7825564	1.6041132	0.0001703865	19.113964
1.7825564	1.6050798	0.0035337596	19.130421
1.7732008	1.6092678	0.0001703865	19.11808
1.7794378	1.6079792	-0.014123949	19.130421
