Fout	Lin	Lout	sono
1.5736147	0.53034449	-0.0023521434	14.938232
1.5767332	0.81996864	0.022032311	14.90532
1.5782925	0.98781544	-0.0048746732	14.913548
1.5689369	1.0992838	-0.0023521434	14.930004
1.5704962	1.1653272	0.0010112298	14.901205
1.575174	1.2165511	-0.0015113001	14.92589
1.5689369	1.23427	-0.0040338296	14.934117
1.5767332	1.2635869	-0.013283106	14.962916
1.5767332	1.265842	-0.0023521434	14.934117
1.5767332	1.2803394	-0.0015113001	14.930004
1.575174	1.2613317	0.078368813	14.901205
1.575174	1.2697079	-0.018328166	14.917662
1.5689369	1.2732518	-0.024214068	14.917662
1.5736147	1.2735739	0.053143516	14.917662
1.575174	1.2780842	-0.0090788892	14.942346
1.5704962	1.2719631	0.015305566	14.917662
1.5782925	1.2703522	-0.024214068	14.946461
1.5767332	1.2622982	-0.0023521434	14.892978
1.575174	1.2622982	0.0060562897	14.913548
1.5704962	1.2648755	-0.010760576	14.913548
1.5720555	1.2784064	-0.048598524	14.958802
1.575174	1.2767955	0.0010112298	14.917662
1.5720555	1.2761512	0.0010112298	14.901205
1.5736147	1.2661642	0.035485804	14.901205
1.5720555	1.2777621	-0.014123949	14.96703
1.5704962	1.2738961	-0.018328166	14.917662
1.5689369	1.2790507	-0.01664648	14.921777
1.5767332	1.2780842	-0.013283106	14.917662
1.5704962	1.2719631	-0.013283106	14.913548
1.5689369	1.2932259	-0.0040338296	14.975258
1.5720555	1.2845274	0.0018520731	14.938232
1.575174	1.2684193	0.01614641	14.913548
1.575174	1.2671306	-0.0099197328	14.950574
1.5736147	1.2616539	-0.00067045673	14.921777
1.575174	1.2597209	0.0043746028	14.913548
1.575174	1.2532777	0.0085788192	14.897092
1.575174	1.2655199	0.0068971328	14.921777
1.5673777	1.2732518	-0.0015113001	14.909433
1.575174	1.2677749	-0.013283106	14.897092
1.5704962	1.2716409	-0.0015113001	14.901205
1.5658183	1.2616539	-0.014123949	14.90532
1.5704962	1.2664863	-0.014123949	14.880636
1.5720555	1.2709966	-0.01160142	14.901205
1.5720555	1.2680972	-0.014123949	14.888865
1.5720555	1.2616539	-0.0090788892	14.888865
1.5704962	1.2726074	-0.013283106	14.917662
1.5704962	1.2755069	-0.027577441	14.917662
1.5658183	1.2651976	-0.0040338296	14.880636
1.5720555	1.2671306	-0.0015113001	14.930004
1.5736147	1.2603652	0.095185675	14.888865
1.5704962	1.2555327	-0.0031929866	14.901205
1.5673777	1.2709966	-0.0090788892	14.92589
1.5689369	1.2719631	-0.023373226	14.90532
1.5736147	1.2774398	-0.021691538	14.917662
1.5704962	1.2758291	-0.020009853	14.892978
1.5720555	1.2713188	0.0094196629	14.913548
1.5673777	1.2742182	-0.0073972028	14.946461
1.5720555	1.2751848	-0.0057155164	14.917662
1.5704962	1.2742182	0.0035337596	14.913548
1.5673777	1.2771177	0.0035337596	14.888865
1.5689369	1.2729295	0.016987253	14.901205
1.5689369	1.2690636	0.0018520731	14.897092
